id;UniversidadCompleto;Universidad;Universidad_Siglas;Facultad;Carrera;Country;Type;Genero;Edad;Q11;Q12;Q13;Q21;Q22;Q23;Q31;Q32;Q33;Q41;Q42;Q43;Q51;Q52;Q53;Q61;Q62;Q63;Q71;Q72;Q73;Q81;Q82;Q83
14;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;23;2;2;3;4;4;4;2;2;2;1;3;3;3;3;2;4;3;4;3;3;3;4;2;3
15;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;2;3;2;3;3;2;3;2;1;2;4;3;3;2;2;2;1;1;2;3;3;3;2;2
16;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;21;3;2;3;4;4;3;3;2;2;2;4;3;4;3;2;2;2;2;3;3;3;4;3;3
17;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;3;4;3;2;2;3;3;3;3;1;4;3;3;3;3;2;2;1;1;3;3;1;2;2
18;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;3;2;2;3;3;3;4;4;2;2;4;4;3;3;3;2;2;3;3;2;2;3;3
19;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;23;2;2;3;3;4;4;2;2;2;2;3;2;4;4;4;2;2;2;2;3;3;3;2;3
20;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;4;2;3;3;4;4;2;3;3;2;3;3;3;3;3;3;2;2;2;3;3;3;3;3
21;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;2;4;2;3;4;4;3;2;1;3;2;3;2;2;2;2;1;2;3;2;1;2;2
22;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;1;2;3;3;2;3;2;2;2;3;3;3;3;3;3;2;3;3;3;2;3;3;3
23;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;4;3;3;2;2;2;2;3;3;3;3;3;4;3;1;1;1;1;3;3;2;2;3
24;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;4;3;3;4;3;2;2;2;2;3;1;3;3;3;1;1;1;1;3;3;3;3;3
25;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;3;1;1;4;4;4;4;1;3;1;1;1;4;4;3;3;3;1;3;2;4;4;4;3
26;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;1;4;3;4;3;2;3;2;1;1;2;4;4;4;3;2;3;4;1;2;4;1;1
27;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;2;3;3;2;2;4;4;3;1;2;2;2;3;2;2;1;1;2;2;2;2;2;1
28;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;23;1;1;2;4;4;4;4;3;3;2;4;4;4;4;3;3;3;4;4;4;4;4;4;4
29;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;3;2;2;4;2;3;1;4;4;1;1;1;4;4;4;4;4;4;4;4;4;4;1;4
30;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;2;1;1;4;4;4;3;2;1;3;4;4;4;3;4;2;2;2;3;4;4;4;2;2
31;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;3;2;3;4;3;3;3;3;3;3;3;3;4;3;3;2;2;2;3;3;3;2;3;3
32;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;2;2;2;4;4;4;3;2;3;1;2;2;3;3;3;3;2;3;3;2;3;2;3;3
33;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;21;3;3;3;3;2;3;3;4;4;4;3;4;3;3;3;3;3;3;1;1;1;1;1;1
34;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;2;2;4;3;3;3;3;3;2;4;2;3;4;4;3;4;3;3;3;3;4;4;3
35;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;23;3;1;3;4;4;3;3;2;2;1;3;4;4;4;4;4;4;4;4;4;4;4;4;4
36;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;23;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
37;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;3;2;3;4;4;4;3;2;2;1;3;3;4;4;4;2;2;2;3;4;3;3;3;3
38;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;3;2;2;3;4;4;3;3;3;1;1;2;3;3;4;2;2;2;3;4;3;3;3;3
39;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;2;3;4;4;3;3;2;2;3;3;3;3;2;3;3;3;3;2;3;3;3;2;3
40;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;1;3;4;4;4;2;2;2;1;1;1;1;4;4;3;4;3;3;1;3;2;3;3;4
41;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;23;3;2;3;4;4;4;2;2;2;2;3;2;4;4;4;3;2;4;3;4;4;4;4;4
42;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;21;3;1;3;2;2;1;3;1;1;1;1;4;1;1;1;2;1;2;3;1;4;1;2;2
43;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;23;4;2;1;3;4;4;2;3;3;3;3;3;3;2;3;3;3;4;4;4;4;2;2;3
44;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;23;3;2;3;3;4;2;2;3;3;2;4;3;3;3;2;2;2;2;2;3;3;3;2;3
45;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;21;3;2;1;4;4;4;2;2;3;1;3;1;4;4;4;4;4;4;4;4;4;4;4;4
46;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;3;4;4;3;3;2;1;2;3;2;2;3;3;2;3;2;3;2;3;1;3;3;3
47;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;3;2;3;2;3;1;2;3;2;2;2;3;4;3;3;2;1;2;3;4;4;2;4;3
48;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;4;3;3;4;4;3;2;2;2;2;3;3;4;3;3;2;2;2;3;4;3;3;4;3
49;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;3;3;1;4;4;3;3;2;3;2;3;3;3;2;3;3;3;3;2;2;2;3;3;2
50;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;2;3;4;3;3;3;3;3;2;4;3;3;3;3;2;2;2;3;3;3;3;3;3
51;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;23;3;3;2;3;3;2;3;2;2;2;2;3;2;3;3;3;1;2;2;2;2;2;2;2
52;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;2;3;3;4;3;3;3;2;3;3;2;3;3;2;2;3;2;2;2;2;2;3;2;2
53;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;3;2;2;3;3;3;3;1;2;2;3;3;3;3;3;2;2;2;1;3;4;2;1;2
54;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;3;3;3;3;2;2;2;2;2;2;2;3;3;2;3;3;2;2;3;3;2;2;3
55;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;4;3;1;3;3;3;3;2;2;2;3;3;2;3;3;3;1;1;1;3;3;2;2;1
56;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;23;2;1;3;4;4;3;3;3;3;3;4;3;4;3;3;3;4;2;3;3;4;4;2;3
57;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;3;4;4;1;3;4;4;4;1;2;3;4;4;2;2;2;2;3;3;3;2;1;2
58;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;3;3;3;2;2;1;2;2;2;1;2;2;3;3;3;2;1;1;3;3;3;2;2;2
59;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;23;3;2;2;4;4;2;2;3;3;2;4;3;3;3;2;2;3;3;2;3;3;2;2;3
60;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;21;4;1;3;4;4;3;3;3;3;1;3;1;3;4;4;4;4;4;4;3;2;4;4;4
61;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;2;4;3;4;2;3;3;3;1;3;3;3;3;3;2;3;2;2;2;3;3;4;3
62;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;2;3;3;4;2;3;3;3;2;3;3;3;2;3;4;3;2;3;2;3;3;3;2;4
63;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;3;2;3;4;3;3;3;3;3;2;3;3;2;3;3;3;2;2;2;3;3;3;2;4
64;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;24;3;1;2;4;4;3;3;2;2;2;3;2;4;4;3;3;2;4;3;3;3;4;3;3
65;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;2;4;3;4;4;4;3;3;1;3;2;3;3;2;4;1;4;2;3;3;3;2;4
66;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;25;3;2;3;3;3;2;2;2;2;2;2;2;3;2;2;2;2;3;2;2;3;2;3;2
67;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;2;3;2;3;2;3;2;2;2;2;3;3;3;3;2;2;2;2;3;2;2;2;2
68;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;4;1;3;4;4;4;2;3;2;2;3;3;4;4;3;4;2;4;2;3;3;4;3;3
69;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;28;3;2;2;2;3;3;3;3;3;1;4;1;3;2;3;2;2;2;3;3;3;2;1;1
70;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;2;4;1;4;4;3;3;4;2;3;3;2;3;3;3;4;3;3;4;3;3;3;4;3
71;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;28;3;2;2;2;3;3;3;3;3;2;3;2;3;2;3;2;2;2;3;3;3;2;2;2
72;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;23;3;2;3;4;4;4;3;3;3;2;3;3;3;3;3;4;4;4;4;4;2;4;4;4
73;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;4;3;2;4;4;4;4;3;4;4;3;4;4;4;4;3;4;3;2;4;3;4;4;4
74;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;2;2;3;3;3;2;2;3;3;3;2;3;2;2;3;2;2;3;3;3;2;2;3
75;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;4;2;4;2;3;3;2;1;2;1;1;2;3;3;4;1;2;1;1;2;1;1;3;2
76;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;2;3;4;4;4;4;4;3;4;2;3;4;1;1;2;2;2;2;4;4;3;2;3;3
77;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;2;2;4;4;4;4;4;3;3;2;3;4;2;2;2;3;2;3;2;3;3;3;3;3
78;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;1;2;3;2;2;3;2;3;2;2;2;2;2;2;2;2;2;3;3;2;3;2;2
79;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;23;4;2;3;4;4;3;4;4;4;2;3;3;4;3;3;3;2;2;3;2;2;3;3;2
80;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;3;3;4;3;3;2;3;2;2;1;2;3;2;2;2;2;1;2;2;3;3;2;3;3
81;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;2;2;3;4;4;3;3;3;3;2;3;3;3;4;4;3;2;3;4;2;2;4;2;4
82;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;4;3;4;3;3;3;2;2;2;3;3;3;2;3;2;1;1;3;3;3;3;2;1
83;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;3;4;4;4;2;4;1;1;3;3;3;4;3;2;3;3;4;4;3;4;3;4;4
84;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;3;2;3;3;3;3;2;3;3;1;2;2;3;3;2;3;4;3;3;2;2;3;4;3
85;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;3;4;4;4;3;3;3;3;2;3;2;3;2;4;3;3;4;2;3;2;3;3;3
86;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;21;3;2;4;4;3;3;4;2;2;2;2;2;2;3;3;4;1;3;3;3;4;3;2;2
87;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;23;3;3;3;3;4;3;2;2;2;2;2;2;3;3;3;3;1;2;2;2;2;3;3;2
88;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;3;3;4;4;3;2;2;3;3;3;3;4;3;3;3;3;4;4;4;4;4;4;3
89;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;2;3;3;3;3;2;2;2;2;1;2;1;3;2;2;2;1;1;2;3;3;3;2;3
90;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;21;2;1;2;3;4;4;3;3;4;3;3;4;4;4;3;4;4;4;2;3;1;4;2;4
91;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;1;3;4;3;2;3;3;2;3;2;2;4;3;2;3;2;2;4;3;4;4;3;3
92;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;23;4;2;4;4;4;4;3;4;4;4;3;3;2;3;2;3;3;2;1;3;2;2;3;4
93;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;24;3;2;4;2;4;3;3;3;3;1;2;4;2;2;3;3;1;1;3;3;2;3;2;2
94;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;2;2;4;3;3;2;3;3;2;3;4;3;4;4;3;3;2;4;3;3;4;4;3
95;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;2;1;2;3;3;2;4;4;4;2;1;2;4;4;4;4;2;3;4;4;4;3;4;4
96;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;2;1;2;2;3;2;4;3;3;1;1;2;4;3;3;2;1;2;3;4;3;3;3;3
97;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;2;2;1;3;4;4;3;2;2;3;3;4;4;4;4;3;3;3;3;3;3;3;3;3
98;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;26;3;1;4;3;2;1;2;3;3;1;2;1;1;2;4;1;1;1;1;4;4;3;3;3
99;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;3;3;1;4;4;4;1;2;3;2;2;2;4;4;4;3;2;2;2;3;2;3;3;2
100;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;24;3;4;4;2;1;3;3;2;3;1;3;3;4;4;4;2;1;1;2;3;2;1;2;3
101;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;3;4;3;2;4;4;2;2;3;1;4;3;3;1;2;3;2;3;2;2;2;2;1;2
102;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;4;3;2;3;4;4;3;3;3;1;3;3;4;4;3;3;3;3;4;3;3;4;3;2
103;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;23;2;2;3;3;3;3;2;2;2;2;3;3;3;3;3;2;1;1;3;3;3;3;2;2
104;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;3;4;2;4;3;2;3;3;2;2;2;3;2;1;2;2;2;1;3;3;1;1;1
105;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;27;2;2;2;3;4;3;3;3;3;3;3;3;3;4;3;3;2;2;3;3;3;2;2;2
106;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;1;3;4;4;3;3;3;2;2;4;3;3;3;2;4;3;2;3;3;4;3;2;4
107;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;2;3;2;2;3;3;2;2;3;3;3;2;2;3;3;2;3;3;3;3;2;2;2;3
108;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;3;3;3;3;2;3;3;3;2;3;4;3;3;2;2;2;2;2;3;3;3;2;3
109;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;27;3;2;3;3;3;3;3;2;2;2;3;3;3;3;3;3;2;2;2;3;3;2;3;2
110;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;3;2;2;4;3;2;3;2;2;2;2;2;4;2;3;3;2;3;2;3;1;3;3;3
111;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;23;2;2;3;4;4;3;2;3;3;1;2;3;3;2;2;2;2;2;2;2;2;3;3;3
112;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;23;3;2;3;3;4;3;2;3;3;2;3;2;4;4;3;3;2;2;2;2;3;2;3;3
113;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;21;1;1;2;4;4;3;3;3;3;2;2;2;3;2;2;1;1;1;1;4;4;3;2;3
114;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;2;3;1;3;3;3;3;2;2;1;2;3;3;2;3;3;3;3;3;4;4;3;3;3
115;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;2;1;3;3;4;4;3;2;2;3;3;3;3;3;3;4;4;4;4;4;2;4;3;4
116;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;23;3;2;2;4;4;3;3;2;2;2;3;4;4;4;4;3;3;3;3;3;3;3;4;4
117;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Male;22;3;3;3;4;4;4;3;3;4;1;2;2;2;3;2;2;1;1;2;2;2;2;2;2
118;University of Belgrade, Faculty of Organized Studies ;University of Belgrade;; Faculty of Organized Studies ;Informational systems and technologies;Serbia;Public;Female;22;2;2;2;1;4;3;3;4;4;1;4;2;3;3;2;3;2;2;2;3;3;2;2;3
